0x2b6a	0x66666666666666
0x2b72	0x66666666666666
0x2b7e	0x66666666666666
0x2b86	0x66666666666666
0x2b8e	0x66666666666666
0x2b96	0x66666666666666
0x2b9e	0x66666666666666
0x2bd5	0x3930
0x2bdc	0x66313631353135
0x2bea	0x62353736303030
0x2bf4	0x64356238303630
0x2c06	0x66666666666666
0x2c0e	0x66666666666666
0x2c16	0x66666666666666
0x2c1e	0x66666666666666
0x2c26	0x66666666666666
0x2c32	0x66666666666666
0x2c3a	0x66666666666666
0x2c42	0x66666666666666
0x2c4a	0x66666666666666
0x2c52	0x66666666666666
0x2ca0	0x66666666666666
0x2ca8	0x66666666666666
0x2cb0	0x66666666666666
0x2cb8	0x66666666666666
0x2cc0	0x66666666666666
0x2ccc	0x66666666666666
0x2cd4	0x66666666666666
0x2cdc	0x66666666666666
0x2ce4	0x66666666666666
0x2cec	0x66666666666666
0x2d30	0x66666666666666
0x2d38	0x66666666666666
0x2d40	0x66666666666666
0x2d48	0x66666666666666
0x2d50	0x66666666666666
0x2d5e	0x66666666666666
0x2d66	0x66666666666666
0x2d6e	0x66666666666666
0x2d76	0x66666666666666
0x2d7e	0x66666666666666
0x2d89	0x64646632353261
0x2d91	0x3162653263
0x2d99	0x363963
0x2d9e	0x303638
0x2da2	0x63333738646161
0x2dad	0x613766
0x2db4	0x34613131
0x2dbc	0x35356134646635
0x2dc6	0x336566
0x2df4	0x3335
0x2df7	0x353035
0x2e02	0x3136
0x2e09	0x3761
0x2e16	0x39343231
0x2e1b	0x613634383566
0x2e22	0x36303438
0x2e2c	0x6462613334
0x2e35	0x6630643664
0x2e3c	0x32376636
0x2e41	0x656164
0x2e4a	0x65636163
0x2e4f	0x643231623030
